bs_replicate,X.Intercept.,Human.population.size.in.1.km.radius.of.site.greater_than_1.000_humans_.urban.,Human.population.size.in.1.km.radius.of.site.less_than_100_humans_.rural.,Human.population.size.in.1.km.radius.of.site.No_humans_observed_in_1_km,labLab_B,Shannon_H_index_cs,Fraction_juv_cs,Fraction_F_cs,Trapping.at.a.cave.or.mine.Yes,Frequency.of.human.visitation.to.the.siteMonthly,Frequency.of.human.visitation.to.the.siteNot_visited_by_humans,Frequency.of.human.visitation.to.the.siteOccasionally,Frequency.of.human.visitation.to.the.siteSeasonal,Frequency.of.human.visitation.to.the.siteWeekly,Frequency.of.human.visitation.to.the.siteYearly,Water.present.at.the.site.Yes,Site.accessibilityEasy,Site.accessibilityModerate,genusMyotis,genusRhinolophus,genusRhinopoma,genusRousettus,AgeJuvenile_.J.,SexMale_.M.,genusMyotis.AgeJuvenile_.J.,genusRhinolophus.AgeJuvenile_.J.,genusRhinopoma.AgeJuvenile_.J.,genusRousettus.AgeJuvenile_.J.,genusMyotis.SexMale_.M.,genusRhinolophus.SexMale_.M.,genusRhinopoma.SexMale_.M.,genusRousettus.SexMale_.M.,AgeJuvenile_.J..SexMale_.M.
23,-1.88950111618476,-0.149895169317895,0.166439664720327,0.181506195548338,-0.0957628710377949,0.295015963667348,-0.0937701688395115,-0.0971626095963911,0.384650826612069,0.00521530396642614,-0.384066548447303,0.527224408116548,0.0943911755056011,-0.514637657705615,0.193263709955432,0.00785643262858282,0.155988602019328,-0.114220977011819,-0.207181895256374,0.15399167083474,-0.198921732151877,-0.151151696175094,0.131403025759534,-0.0459863525763372,0.162316035806101,0.81297521739258,-0.0443005634664541,-0.726111804629885,-0.567504392785681,0.462847970947446,-0.0581726464389512,-0.29930472052701,0.127458745492536
24,-1.8540275306608,-0.243612485701142,0.503888745388374,0.592302293937947,0.0310628320393035,0.315419605357497,-0.454031083433481,-0.962490014669372,0.853171580594905,-0.285463211561191,-0.573221925786483,0.894511137730001,-0.378330146173144,0.282473231082242,-0.539898371682947,-0.165250709768555,0.550751381749494,-0.334110198208181,-0.764403630438251,0.0373741750415618,-0.483531292904165,-0.399694757112506,-0.680311803195713,-0.65655682078253,0.778609228263216,1.86713324648217,1.74222302350264,-0.403147998543484,-0.239376369670271,0.798637767901889,-0.0993072836468666,-0.146912417501204,0.52775769139431
25,-2.44649524998791,0.88862576458473,-0.0211800294249409,0.31453313486875,-0.233980291636789,0.390947686936923,-0.0686213341686092,-0.504596376328473,0.958525598366005,-0.142750210867437,-0.362200009230345,1.01988310691367,-0.00265083849150588,-0.730946121823065,-0.144806790007418,-0.130469268567,0.37374982959166,-0.223762079387349,-0.607352692439556,0.512966403942607,-0.316928315434071,-0.182795012715661,-0.533916504517521,-0.0133384977943506,0.960826427127398,0.981368205791496,1.39733077816464,0.371246777925894,-0.434621889112572,0.0381781790689353,0.111189699503507,-0.940049590642552,0.506425785787706
26,-2.15495150238014,0.628433498585097,-0.0122874560332917,0.456857537868348,-0.0831751992812489,0.632352283475847,0.118460076107522,-0.736457970119818,0.962368921050758,-0.0126884716342497,-0.61408440082702,1.17228478668008,-0.138823947193742,-0.3216831995151,-0.323019928913379,-0.3473199419654,0.114637996342881,-0.268782305526331,-0.305082536039925,0.536302275658549,-0.371945683746687,-0.337628349973681,-0.294799561217639,-0.462561800891032,0.800804814051722,1.17640640261212,1.72387236468094,-0.290702859392612,-0.637637958353747,0.779600766416591,-0.0644985782896312,-0.0195514855947086,0.321635489313241
27,-2.24784040756298,-0.413275540642149,0.46443800500922,0.462580067011071,0.0128227921068671,0.425412113000657,0.0083875273422248,-0.859945204708795,0.96803095843479,-0.208921068706502,-0.338303476368145,1.07124917381979,-0.234634228362459,-0.175643594629559,-0.434485536398089,-0.306706309253806,0.144253148313655,-0.415620198172806,-0.67028809263378,0.24121364856785,0.0307258855615453,-1.34898354570022,-0.138023366241932,-0.629770767937429,0.566146360339052,1.52394900990115,2.16620078423133,0.1338952919283,-2.09050543342884,0.852498474636418,-0.0385627254368718,0.0813598670581733,-0.165237921044101
28,-1.6582758708701,0.427978205002502,-0.0625754897152778,0.440038284563529,0.181995366549992,0.61812143285104,0.00232519509015138,-0.97390802767961,0.475303531065642,-0.321398600465036,-0.31228698827496,1.13183207125668,-0.224811425442386,-0.349516595828051,-0.183831258690537,-0.110336409779582,0.273784903868428,-0.19379544850253,-0.569653309362322,0.0580714723369426,-0.369411754130777,-0.414099892643021,-0.877750061901681,-0.401635029494946,0.608227508131936,1.98190200416443,0.138286488903679,-0.504386175165747,-0.297057719604932,0.731192450543005,-0.325375626958635,-0.138091333553644,0.28471749208575
29,-1.78350048223641,-0.0254635066604651,0.430660968372138,0.62903641522646,0.155680914774351,0.530534746748117,0.0471302342353656,-0.49590724223229,0.563597307369486,-0.0713592419506362,-0.572806046324532,0.634451076870025,-0.404611466821093,0.257537268190766,-0.188492313435526,-0.104694521696016,0.0949770783914506,-0.499272454039789,-0.578844194856949,0.325274067776485,-0.164253939343691,-0.486127078143477,-0.28913461778441,-0.375830672439491,0.865818506794792,1.17770868585404,0.649325886502214,-0.666369137535942,-0.354255848445019,0.67676366455838,0.0992987387805323,0.0556458861631273,0.123096131948177
30,-2.19896116534666,-1.41791154799194,0.860602487844332,0.660336834238845,0.142061031578844,0.486438873072382,-0.136013772177179,-0.712609325228209,0.600764406664905,-0.296887209896587,-0.520477653753106,1.07962711239824,-0.221065225647324,0.0901232906886473,-0.795667046827314,-0.281080136074783,0.317939731733939,-0.643863160334871,-0.100192001331884,0.338757730710013,-0.667513975926799,0.169338948105247,-0.124575091210946,-0.111218379037238,-0.12018768899992,1.32759235067598,2.33586366526195,-0.781949206870005,-0.823884405314256,0.863059730460578,0.324098154968625,-0.556932898972701,-0.417067303763933
31,-2.29145822254366,-1.8068686022978,0.675584435912781,1.07737315677569,0.341448500598771,0.223281840433211,-0.400725722282261,-0.586924793506145,0.6206088920109,-0.294658977296618,-0.473328160954826,0.943312853184216,-0.548410633060742,0.301393982972683,-0.410891033826182,-0.0379566895353937,0.313750757327089,-0.461586114383438,-0.209100351399854,0.139834636868086,0.0770840892341252,-0.529118864356958,0.0792438381775241,-0.231801065846522,0.361280374908209,1.54624724604262,0.259799105369619,-0.719087386028325,-0.443097354706043,0.85702976922589,-0.494902214003286,-0.779212434595815,0.124121750046964
32,-1.79552786501748,0.608877892270951,0.809822661651422,0.203552293696102,-0.00612910809471238,0.242499332703484,-0.115002308493703,-0.294130324213549,0.597573545626433,-0.165990650826807,-0.392371817910158,0.590385136877879,-0.0969499824340162,-0.302431891619678,-0.234516821319465,-0.215565036603963,0.16474702848203,-0.338074029337934,-0.351986139344015,0.162675921281723,-0.109460960751449,-0.329866123232458,-0.274954512399965,-0.212437546066614,0.775794940449177,1.1494762953836,1.1667283671439,-0.987406852989323,-0.501235525813463,0.530804514124488,-0.260170126687548,-0.773081538394098,0.422486112164468
