bs_replicate,X.Intercept.,Human.population.size.in.1.km.radius.of.site.greater_than_1.000_humans_.urban.,Human.population.size.in.1.km.radius.of.site.less_than_100_humans_.rural.,Human.population.size.in.1.km.radius.of.site.No_humans_observed_in_1_km,labLab_B,Shannon_H_index_cs,Fraction_juv_cs,Fraction_F_cs,Trapping.at.a.cave.or.mine.Yes,Frequency.of.human.visitation.to.the.siteMonthly,Frequency.of.human.visitation.to.the.siteNot_visited_by_humans,Frequency.of.human.visitation.to.the.siteOccasionally,Frequency.of.human.visitation.to.the.siteSeasonal,Frequency.of.human.visitation.to.the.siteWeekly,Frequency.of.human.visitation.to.the.siteYearly,Water.present.at.the.site.Yes,Site.accessibilityEasy,Site.accessibilityModerate,Bat.familyPteropodidae,Bat.familyRhinolophidae,Bat.familyRhinopomatidae,Bat.familyVespertilionidae,AgeJuvenile_.J.,SexMale_.M.,Bat.familyPteropodidae.AgeJuvenile_.J.,Bat.familyRhinolophidae.AgeJuvenile_.J.,Bat.familyRhinopomatidae.AgeJuvenile_.J.,Bat.familyVespertilionidae.AgeJuvenile_.J.,Bat.familyPteropodidae.SexMale_.M.,Bat.familyRhinolophidae.SexMale_.M.,Bat.familyRhinopomatidae.SexMale_.M.,Bat.familyVespertilionidae.SexMale_.M.,AgeJuvenile_.J..SexMale_.M.
22,-2.30078624002753,0.84012052924143,0.319123637060567,0.217963684463316,0.0243577100257119,0.308317903478732,0.200878765225425,-0.634087078923569,0.841644217944043,-0.321758573749185,0.0603532431119529,1.3351944163015,0.134648725133763,-0.226711378877533,0.282810981253374,-0.102795963503624,0.191431915363331,0.270954854509782,-0.286729604625237,0.124067208781067,-0.675094861605822,-0.513557506116979,-0.814953994485998,-0.222794387296669,-0.522977682761512,1.04302174122911,1.58199722582756,0.934969005422105,-0.303059721339184,0.821274392618122,-0.0566607469001689,-1.01570632220415,0.510620883496633
23,-2.37674814959528,0.506226109230023,0.228307224651532,0.263104020913876,-0.0186630382741118,0.716698922212334,0.0477199159184864,-0.567888339119192,0.742332279632261,0.0295913052393381,-0.143282450259925,1.12472678767893,-0.077098334020146,-0.37265251871415,-0.185523456118667,-0.201675904605974,0.297467166815231,-0.300799800454094,-0.0351687439260202,0.235103195410197,-0.367439814449408,-0.428142336362928,0.160664546096557,-0.279745456970642,-0.571099410949752,1.26077762433868,0.750626794659856,0.957209415271792,-1.09879991363956,0.2741037092527,0.0251644768137281,-0.888598927917699,0.431256221603361
24,-2.40614702197588,0.375467539693439,-0.0050953039234303,0.391962133877537,-0.197190631806693,0.674360618435891,0.424206397630361,-0.657063151095729,1.11110260114701,0.0377416406738061,0.166207836564467,1.2105378158874,0.0487124875904071,-0.0404785328558541,0.0408619113643924,-0.381264367891161,0.10367385918398,-0.0569379038843287,-0.792484996040956,0.569934469653148,-0.402072021250794,-0.44553863308571,-0.770888480579408,-0.17293945046986,-0.162753867258448,1.57959647909069,2.04466459088658,1.07683495544176,-0.301689981489217,0.190491713659075,0.088583763610241,-0.778167969786848,0.244384775173578
25,-2.535663318013,0.00353423971807027,0.339091325771365,0.41897094118675,-0.000765210114210757,0.463856486943604,0.141567744309413,-0.705031587281475,0.980113859467538,-0.195590550010571,0.0405718745151858,1.25734930712526,-0.00703828978996041,-0.181574871928872,-0.174230958815371,0.0627856443448476,0.309888403135561,0.00559964684431526,-0.265598923757954,0.108519784966377,-0.25766204045421,-0.965496260196021,-0.206728951914947,-0.321470587362593,0.0409660656038869,1.28196773007685,0.0288427873212118,0.18602160552997,-1.08981928852019,1.18012532204918,-0.361877248885944,0.0294092867106488,-0.0179827633331276
26,-1.74379226403009,0.284369671860339,-0.117737469484362,0.501294191575951,0.29819006756857,0.69052773096837,0.103301660139182,-0.787832248203669,1.0363824319962,-0.0256633991159547,0.1057513533677,1.13849107790512,-0.26691895763357,-0.131825324612441,-0.0888100119038513,-0.513251624692935,-0.269158086408533,-0.165625244313913,-0.958739093251187,0.229470466385474,-0.329347075445244,-0.816458265853858,-0.825250367403213,-0.504610084003729,-0.710435527149958,2.19399095267679,0.973463335099487,1.63483395349901,-0.684769476457187,0.843960848197265,-0.572291173165296,-0.414953138564461,0.126544391328122
27,-2.35577390575397,0.445590043193658,0.584580924227543,0.647400493859052,0.0062965357351456,0.35002407207093,-0.164065024372385,-0.284840468346625,0.762013003052571,-0.234510627208654,-0.442818889577573,1.09156066795888,0.144606550330528,0.764895816191317,0.428651061015905,-0.398260015201338,0.45498310851731,-0.433491041529489,-0.196689978004233,0.221712375930109,-0.649305660083993,-0.810030036555035,-0.581060067343124,0.0887484100174877,-0.478931678816664,1.28129131696995,1.73611519193109,-0.0624814314424031,-1.18322152185661,0.453749860751713,0.398321022592185,-1.3228089566601,0.263954196854439
28,-2.19079616703807,-0.168562201991687,0.627094390413802,0.933185601384594,0.100061992133365,0.71346601693282,0.114115483984472,-0.704112278974426,0.83756991080623,-0.0319482053863805,-0.376715589159454,0.774224819862607,-0.296579085026736,0.387350833472791,-0.379397735305112,-0.255301029084243,0.306555716593009,-0.569803548782426,-0.320327848777225,0.362756210078589,-0.11699393184503,-1.16430818867308,-0.159353080940407,-0.748871098967781,-0.784362301642589,1.25570721144013,0.712773374896788,0.638249206263496,-0.0512696606105763,0.764430959278966,0.274278195889296,0.411807641086975,0.241104588286027
29,-2.47187123727085,0.370769880919921,0.158507005875582,0.302344806126483,0.0204130682960295,0.608798608776849,0.0428114399888486,-0.564760392759626,0.905831414419928,-0.0201609113415767,-0.12909032393461,0.959361554201578,-0.178042523927509,0.0286422348009606,-0.359204005879677,-0.117939028627341,0.0514709829444494,-0.41873254946793,0.022806818914862,0.471088932184031,-0.227534872679641,-0.735797664198055,0.0827040110884169,-0.171873752808282,-0.483504581713415,1.37104925417787,0.680843852722202,0.953094181527974,-1.13764831218732,0.455067685292786,0.0293317958961996,-0.130798836790392,0.256580081501178
30,-2.07408410912076,-0.795080467793291,0.684656894658621,0.606630424461578,0.424453010637783,0.636498622298773,0.380872685913242,-0.976339150993818,0.358677046702663,-0.15035204022605,0.0109964598942618,1.21258606341907,-0.301392780635216,-0.170203861580396,-0.473970127656255,-0.293727314686054,0.160158293605645,-0.189583171374996,-0.299468985692446,0.564685774548514,-0.288406387919671,-0.65500953518857,-0.533910893983388,0.00487185014338268,-0.86159218483454,1.30915027460897,2.1113651116451,1.1250701465502,-1.55684973862264,0.851891746923216,-0.329815673441004,-0.619396043477179,-0.174469360668406
31,-1.92945741738207,-1.2703149631668,0.231562831070473,0.356330931199175,-0.176614115511826,0.960856748955842,0.302445237551396,-0.949367965844051,0.895946933150316,-0.069893453170596,0.129408024020157,1.25388050035889,-0.0735051482760986,-0.118728607584809,-0.212608300368652,-0.470118617278342,0.110364054140119,-0.463104603956338,-0.335301973951278,-0.236146618378187,-0.280523872393894,-0.785049259714575,-0.240526042198928,-0.55590823815269,-0.811461623694018,1.67530966247139,0.939875268769362,1.38811851046568,0.106224324956104,0.968411195594035,0.240289385216605,-0.330364176268143,-0.0958373883716984
